# base_item_id	count_threshold	display_item_id
9140	4	9152
9140	5	9153
9141	2	9154
9141	3	9155
9141	4	9156
9141	5	9157
9142	2	9158
9142	3	9159
9142	4	9160
9142	5	9161
9143	2	9162
9143	3	9163
9143	4	9164
9143	5	9165
9144	2	9166
9144	3	9167
9144	4	9168
9144	5	9169
9145	2	9170
9145	3	9171
9145	4	9172
9145	5	9173
9187	2	9195
9187	3	9196
9187	4	9197
9187	5	9198
9188	2	9207
9188	3	9208
9188	4	9209
9188	5	9210
9189	2	9211
9189	3	9212
9189	4	9213
9189	5	9214
9190	2	9215
9190	3	9216
9190	4	9217
9190	5	9218
9191	2	9219
9191	3	9220
9191	4	9221
9191	5	9222
9192	2	9223
9192	3	9224
9192	4	9225
9192	5	9226
9193	2	9227
9193	3	9228
9193	4	9229
9193	5	9230
9194	2	9231
9194	3	9232
9194	4	9233
9194	5	9234
9236	2	9246
9236	3	9247
9236	4	9248
9236	5	9249
9237	2	9254
9237	3	9255
9237	4	9256
9237	5	9257
9238	2	9250
9238	3	9251
9238	4	9252
9238	5	9253
9239	2	9258
9239	3	9259
9239	4	9260
9239	5	9261
9240	2	9262
9240	3	9263
9240	4	9264
9240	5	9265
9241	2	9266
9241	3	9267
9241	4	9268
9241	5	9269
9242	2	9270
9242	3	9271
9242	4	9272
9242	5	9273
9243	2	9274
9243	3	9275
9243	4	9276
9243	5	9277
9244	2	9278
9244	3	9279
9244	4	9280
9244	5	9281
9245	2	9282
9245	3	9283
9245	4	9284
9245	5	9285
9286	2	9307
9286	3	9308
9286	4	9309
9286	5	9310
9287	2	9311
9287	3	9312
9287	4	9313
9287	5	9314
9288	2	9315
9288	3	9316
9288	4	9317
9288	5	9318
9289	2	9319
9289	3	9320
9289	4	9321
9289	5	9322
9290	2	9323
9290	3	9324
9290	4	9325
9290	5	9326
9291	2	9327
9291	3	9328
9291	4	9329
9291	5	9330
9292	2	9331
9292	3	9332
9292	4	9333
9292	5	9334
9335	2	9343
9335	3	9344
9335	4	9345
9335	5	9346
9336	2	9347
9336	3	9348
9336	4	9349
9336	5	9350
9337	2	9351
9337	3	9352
9337	4	9353
9337	5	9354
9338	2	9355
9338	3	9356
9338	4	9357
9338	5	9358
9339	2	9359
9339	3	9360
9339	4	9361
9339	5	9362
9340	2	9363
9340	3	9364
9340	4	9365
9340	5	9366
9341	2	9367
9341	3	9368
9341	4	9369
9341	5	9370
9342	2	9371
9342	3	9372
9342	4	9373
9342	5	9374
9375	2	9383
9375	3	9384
9375	4	9385
9375	5	9386
9376	2	9387
9376	3	9388
9376	4	9389
9376	5	9390
9377	2	9391
9377	3	9392
9377	4	9393
9377	5	9394
9378	2	9395
9378	3	9396
9378	4	9397
9378	5	9398
9379	2	9399
9379	3	9400
9379	4	9401
9379	5	9402
9380	2	9403
9380	3	9404
9380	4	9405
9380	5	9406
9381	2	9407
9381	3	9408
9381	4	9409
9381	5	9410
9382	2	9411
9382	3	9412
9382	4	9413
9382	5	9414
9706	2	9709
9706	3	9708
9706	4	9707
9706	5	9710
10167	2	10168
10167	3	10169
10167	4	10170
10476	2	10477
10476	3	10478
10476	4	10479
10476	5	10480
10476	10	10481
10476	25	10482
10476	100	10483
10501	2	10502
10501	3	10503
10501	4	10504
10501	5	10505
10866	2	10867
10866	3	10868
10866	4	10869
10899	2	10900
10899	3	10901
10899	4	10902
10899	5	10903
10904	2	10905
10904	3	10906
10904	4	10907
10904	5	10908
11003	2	11004
11003	5	11005
11205	2	11206
11205	3	11207
11205	4	11208
11205	5	11209
11212	2	11213
11212	3	11214
11212	4	11215
11212	5	11216
11217	2	11218
11217	3	11219
11217	4	11220
11217	5	11221
11222	2	11223
11222	3	11224
11222	4	11225
11222	5	11226
11874	2	4449
11874	3	4451
11874	4	4453
11874	5	4455
11875	2	4036
11875	3	4280
11875	4	4282
11875	5	4296
11876	2	4312
11876	3	4626
11876	4	4706
11876	5	5069
11994	2	3250
11994	3	3252
11994	4	3254
11994	5	3256
12640	2	3955
12640	3	3957
12640	4	3959
12640	5	3961
12934	2	3993
12934	3	3995
12934	4	3997
12934	5	3999
13204	2	3985
13204	3	3987
13204	4	3989
13204	5	3991
13307	2	13308
13307	3	13309
13307	4	13310
13307	5	13311
13307	25	13312
13307	100	13313
13307	250	13314
13307	1000	13315
13307	10000	13316
13657	2	3973
13657	3	3975
13657	4	3977
13657	5	3979
19570	2	3066
19570	3	3068
19570	4	3070
19570	5	3072
19572	2	3074
19572	3	3076
19572	4	3078
19572	5	3082
19574	2	3084
19574	3	3086
19574	4	3088
19574	5	3090
19576	2	3092
19576	3	3242
19576	4	3244
19576	5	3246
19578	2	3248
19578	3	3905
19578	4	3907
19578	5	3909
19580	2	3911
19580	3	3913
19580	4	3915
19580	5	3917
19582	2	3919
19582	3	3921
19582	4	3923
19582	5	3925
19584	2	3927
19584	3	3929
19584	4	3931
19584	5	3933
20527	2	20528
20527	3	20529
20527	4	20530
20527	5	20531
20903	2	10579
20903	3	10577
20903	4	10575
20903	5	10573
20906	2	10580
20906	3	10578
20906	4	10576
20906	5	10574
20909	2	2512
20909	3	599
20909	4	1589
20909	5	2420
21316	2	4000
21316	3	4076
21316	4	4177
21316	5	3902
21326	2	4771
21326	3	4772
21326	4	4769
21326	5	4770
21332	2	4763
21332	3	4764
21332	4	4765
21332	5	4766
21338	2	3951
21338	3	4762
21338	4	4767
21338	5	4768
21352	2	3963
21352	3	3965
21352	4	3967
21352	5	13220
21356	2	10571
21356	3	10572
21356	4	10569
21356	5	10570
21486	2	21492
21486	3	21493
21486	4	21494
21486	5	21495
21488	2	21496
21488	3	21497
21488	4	21498
21488	5	21499
21490	2	21500
21490	3	21501
21490	4	21502
21490	5	21503
21555	2	21557
21555	3	21558
21555	4	21559
21555	5	21560
21555	25	21561
21656	2	21658
21656	3	21659
21656	4	21660
21656	5	21661
21820	2	21822
21820	3	21823
21820	4	21824
21820	5	21825
21905	2	8473
21905	3	8475
21905	4	8477
21905	5	8479
21924	2	8481
21924	3	8483
21924	4	8485
21924	5	8487
21930	2	8465
21930	3	8467
21930	4	8469
21930	5	8471
21932	2	8723
21932	3	8725
21932	4	8727
21932	5	8729
21934	2	8731
21934	3	8733
21934	4	8735
21934	5	8737
21936	2	8739
21936	3	8741
21936	4	8743
21936	5	8745
21938	2	8747
21938	3	8749
21938	4	8751
21938	5	8753
21940	2	8755
21940	3	8757
21940	4	8759
21940	5	8761
21942	2	8763
21942	3	8765
21942	4	8767
21942	5	8769
21944	2	8771
21944	3	8773
21944	4	8775
21944	5	8777
21946	2	1687
21946	3	1688
21946	4	1689
21946	5	1690
21948	2	1691
21948	3	6566
21948	4	19504
21948	5	1668
21950	2	1669
21950	3	1670
21950	4	1671
21950	5	1672
21955	2	8489
21955	3	8491
21955	4	8493
21955	5	8495
21957	2	8651
21957	3	8653
21957	4	8655
21957	5	8657
21959	2	8659
21959	3	8661
21959	4	8663
21959	5	8665
21961	2	8667
21961	3	8669
21961	4	8671
21961	5	8673
21963	2	8675
21963	3	8677
21963	4	8679
21963	5	8681
21965	2	8683
21965	3	8685
21965	4	8687
21965	5	8689
21967	2	8691
21967	3	8693
21967	4	8695
21967	5	8697
21969	2	8699
21969	3	8701
21969	4	8703
21969	5	8705
21971	2	8707
21971	3	8709
21971	4	8711
21971	5	8713
21973	2	8715
21973	3	8717
21973	4	8719
21973	5	8721
22207	2	1652
22207	3	1653
22207	4	6564
22207	5	19499
22227	2	19500
22227	3	1649
22227	4	1650
22227	5	1651
22228	2	21827
22228	3	21830
22228	4	21833
22228	5	21828
22229	2	21831
22229	3	21834
22229	4	6201
22229	5	6203
22230	2	6205
22230	3	6207
22230	4	6381
22230	5	6210
22820	2	22822
22820	3	22823
22820	4	22824
22820	5	22825
22869	2	22905
22869	3	22906
22869	4	22907
22869	5	22908
22871	2	22921
22871	3	22922
22871	4	22923
22871	5	22924
22873	2	22897
22873	3	22898
22873	4	22899
22873	5	22900
22875	2	22925
22875	3	22926
22875	4	22927
22875	5	22928
22877	2	22901
22877	3	22902
22877	4	22903
22877	5	22904
22879	2	22893
22879	3	22894
22879	4	22895
22879	5	22896
22881	2	22909
22881	3	22910
22881	4	22911
22881	5	22912
22883	2	22913
22883	3	22914
22883	4	22915
22883	5	22916
22885	2	22917
22885	3	22918
22885	4	22919
22885	5	22920
22887	2	22889
22887	3	22890
22887	4	22891
22887	5	22892
23083	2	23085
23083	3	23086
23083	4	23087
23083	5	23088
23083	10	23089
23083	20	23090
23490	2	23492
23490	3	22329
23490	4	23493
23490	5	23494
23661	2	23663
23661	3	23664
23661	4	23665
23661	5	23666
23824	2	23825
23824	3	23826
23824	4	23827
23824	5	23828
23824	25	23829
23866	2	23966
23866	3	23967
23866	4	23968
23866	5	23969
23866	25	23970
24711	2	24713
24711	3	24714
24711	4	24715
24711	5	24716
24711	25	24717
25139	2	25141
25139	3	25142
25139	4	25143
25139	5	25144
25527	25	25529
25527	75	25530
25527	125	25531
25527	175	25532
25588	2	9815
25588	3	9816
25588	4	10165
25588	5	10166
25588	6	10601
25588	7	10602
25588	8	10666
25588	9	10669
25676	2	25678
25676	3	25679
25676	4	25680
25676	5	25681
25676	10	25682
25676	25	25683
26792	2	26794
26792	3	26795
26792	4	26796
26792	5	26797
27616	10	27618
27616	50	27619
27616	100	27620
27616	500	27621
27790	2	27792
27790	3	27793
28872	2	28874
28872	3	28875
28872	4	28876
28872	5	28877
28878	2	28880
28878	3	28881
28878	4	28882
28878	5	28883
28924	2	28926
28924	3	28927
28924	4	28928
28991	2	28993
28991	3	28994
28991	4	28995
28991	5	28996
29090	2	29093
29090	3	29094
29090	4	29095
29090	5	29096
29090	25	29097
29311	2	29313
29311	3	29314
29311	4	29315
29311	5	29316
29325	2	29328
29325	3	29329
29325	4	29330
29325	5	29331
29332	2	29334
29332	3	29335
29332	4	29336
29332	5	29337
29449	2	29451
29449	3	29452
29449	4	29453
29449	5	29454
30088	2	30090
30088	3	30091
30088	4	30092
30088	5	30093
